headline,abstract,timebegin,timeend,placename,tags,imageurl,storyurl
StÈphane Grappelli,"One of the all-time great jazz violinists (ranking with Joe Venuti and Stuff Smith as one of the big three of pre-bop), StÈphane Grappelli's longevity and consistently enthusiastic playing did a great deal to establish the violin as a jazz instrument. He was originally self-taught as both a violinist and a pianist, although during 1924-28 he studied at the Paris Conservatoire. Grappelli played in movie theaters and dance bands before meeting guitarist Django Reinhardt in 1933. They hit it off musically from the start even though their lifestyles (Grappelli was sophisticated while Django was a gypsy) were very different. Together as Quintet of the Hot Club of France (comprised of violin, three acoustic guitars and bass) during 1933-39 they produced a sensational series of recordings and performances. During a London engagement in 1939, World War II broke out. Reinhardt rashly decided to return to France but Grappelli stayed in England, effectively ending the group. The violinist soon teamed up with the young pianist George Shearing in a new band that worked steadily through the war. In 1946, Grappelli and Reinhardt had the first of several reunions although they never worked together again on a regular basis (despite many new recordings). Grappelli performed throughout the 1950s and '60s in clubs throughout Europe and, other than recordings with Duke Ellington (Violin Summit) and Joe Venuti, he remained somewhat obscure in the U.S. until he began regularly touring the world in the early '70s. Since then Grappelli has been a constant traveler and a consistent poll-winner, remaining very open-minded without altering his swing style; he has recorded with David Grisman, Earl Hines, Bill Coleman, Larry Coryell, Oscar Peterson, Jean Luc Ponty and McCoy Tyner among many others. Active up until near the end, the increasingly frail Grappelli remained at the top of his field even when he was 89. His early recordings are all available on Classics CDs and he recorded quite extensively during his final three decades.","January 26, 1908","December 1, 1997","Paris, France","Swing,Continental Jazz, Jazz Instrument, Guitar Jazz, Piano Jazz",http://image.allmusic.com/00/amg/pic200/drp500/p509/p50988qwsew.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifpxqt5ldse~T1
Grant Green,"Grant Green was born in St. Louis on June 6, 1931, learned his instrument in grade school from his guitar-playing father and was playing professionally by the age of thirteen with a gospel group. He worked gigs in his home town and in East St. Louis, IL, until he moved to New York in 1960 at the suggestion of Lou Donaldson. Green told Dan Morgenstern in a Down Beat interview: ""The first thing I learned to play was boogie-woogie. Then I had to do a lot of rock & roll. It's all blues, anyhow.""","June 6, 1931","January 31, 1979","St. Louis, MO","Soul Jazz, Hard Bop, Jazz Instrument, Guitar Jazz, Jazz-Funk",http://image.allmusic.com/00/amg/pic200/drp100/p182/p18228pw1er.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wifqxqt5ldse~T1
Herbie Hancock,"Herbie Hancock will always be one of the most revered and controversial figures in jazz -- just as his employer/mentor Miles Davis was when he was alive. Unlike Miles, who pressed ahead relentlessly and never looked back until near the very end, Hancock has cut a zigzagging forward path, shuttling between almost every development in electronic and acoustic jazz and R&B over the last third of the 20th century. Though grounded in Bill Evans and able to absorb blues, funk, gospel, and even modern classical influences, Hancock's piano and keyboard voices are entirely his own, with their own urbane harmonic and complex, earthy rhythmic signatures -- and young pianists cop his licks constantly. Having studied engineering and professing to love gadgets and buttons, Hancock was perfectly suited for the electronic age; he was one of the earliest champions of the Rhodes electric piano and Hohner clavinet and would field an ever-growing collection of synthesizers and computers on his electric dates. Yet his love for the grand piano never waned, and despite his peripatetic activities all around the musical map, his piano style continues to evolve into tougher, ever-more-complex forms. He is as much at home trading riffs with a smoking funk band as he is communing with a world-class post-bop rhythm section -- and that drives purists on both sides of the fence up the wall.","April 12, 1940",,"Chicago, IL","Funk, Jazz-Funk, Fusion, Post-Bop, Hard Bop, Modal Music, Electro, Electronic, R&B, Jazz Instrument, Piano Jazz",http://image.allmusic.com/00/amg/pic200/drp000/p008/p00864jt79s.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kiftxqt5ldse~T1
Coleman Hawkins,"Coleman Hawkins was the first important tenor saxophonist and he remains one of the greatest of all time. A consistently modern improviser whose knowledge of chords and harmonies was encyclopedic, Hawkins had a 40-year prime (1925-1965) during which he could hold his own with any competitor.","November 21, 1904","May 19, 1969","St. Joseph, MO","Bop, Swing, Early Jazz,Mainstream Jazz, Jazz Instrument, Saxophone Jazz, Big Band",http://image.allmusic.com/00/amg/pic200/drp300/p349/p34952sipre.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wpfixqr5ld0e~T1
Billie Holiday,"The first popular jazz singer to move audiences with the intense, personal feeling of classic blues, Billie Holiday changed the art of American pop vocals forever. Almost fifty years after her death, it's difficult to believe that prior to her emergence, jazz and pop singers were tied to the Tin Pan Alley tradition and rarely personalized their songs; only blues singers like Bessie Smith and Ma Rainey actually gave the impression they had lived through what they were singing. Billie Holiday's highly stylized reading of this blues tradition revolutionized traditional pop, ripping the decades-long tradition of song plugging in two by refusing to compromise her artistry for either the song or the band. She made clear her debts to Bessie Smith and Louis Armstrong (in her autobiography she admitted, ""I always wanted Bessie's big sound and Pops' feeling""), but in truth her style was virtually her own, quite a shock in an age of interchangeable crooners and band singers.","April 7, 1915","July 17, 1959","Philadelphia, PA","Blues, Classic Female Blues, Jazz, Torch Songs, Swing, Traditional Pop, Vocal Jazz, Standards",http://image.allmusic.com/00/amg/pic200/drp200/p216/p21647bq10w.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kcfqxqt5ldde~T1
Dave Holland,"Dave Holland is of a generation of bassists who, in the '60s and '70s, built upon the innovations of slightly older players like Scott LaFaro, Gary Peacock, and Barre Phillips, carrying the instrument to yet another new level of creativity. Along with contemporaries like Eddie GÛmez, Miroslav Vitous, and Barry Guy, Holland helped refine and extend the melodic possibilities of the cumbersome double bass. In Holland's case, those refinements never lost touch with the core verities of straight-ahead jazz; Holland's sense of swing is unexcelled. Additionally, Holland is possibly the most accomplished pure jazz composer among bassists, after Charles Mingus. Holland's small groups in the '80s and '90s, while working firmly within the jazz idiom, presented a fresh alternative to the fusty re-creations of the neo-boppers.","October 1, 1946",,"Wolverhampton, England","Post-Bop, Free Jazz, Avant-Garde Jazz, M-Base, Modern Creative, Jazz Instrument, Piano Jazz",http://image.allmusic.com/00/amg/pic200/drp000/p005/p00585xtj6y.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0iftxqt5ldde~T1
Freddie Hubbard,"One of the great jazz trumpeters of all time, Freddie Hubbard formed his sound out of the Clifford Brown/Lee Morgan tradition, and by the early '70s was immediately distinctive and the pacesetter in jazz. However, a string of blatantly commercial albums later in the decade damaged his reputation and, just when Hubbard, in the early '90s (with the deaths of Dizzy Gillespie and Miles Davis), seemed perfectly suited for the role of veteran master, his chops started causing him serious troubles.","April 7, 1938","December 29, 2008","Indianapolis, IN","Jazz-Funk, Soul Jazz, Fusion, Post-Bop, Hard Bop, Jazz Instrument,  Trumpet Jazz",http://image.allmusic.com/00/amg/pic200/drp400/p489/p48971ymavl.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0nfyxqr5ldae~T1
Bobby Hutcherson,"Easily one of jazz's greatest vibraphonists, Bobby Hutcherson epitomized his instrument in relation to the era in which he came of age the way Lionel Hampton did with swing or Milt Jackson with bop. He isn't as well-known as those two forebears, perhaps because he started out in less-accessible territory when he emerged in the '60s playing cerebral, challenging modern jazz that often bordered on avant-garde. Along with Gary Burton, the other seminal vibraphone talent of the '60s, Hutcherson helped modernize his instrument by redefining what could be done with it -- sonically, technically, melodically, and emotionally. In the process, he became one of the defining (if underappreciated) voices in the so-called ""new thing"" portion of Blue Note's glorious '60s roster. Hutcherson gradually moved into a more mainstream, modal post-bop style that, if not as adventurous as his early work, still maintained his reputation as one of the most advanced masters of his instrument.","January 27, 1941",,"Los Angeles, CA","Post-Bop, Hard Bop, Modern Creative, Mainstream Jazz, Progressive Jazz, Jazz Instrument, Vibraphone/ Marimba Jazz",http://image.allmusic.com/00/amg/pic200/drp100/p136/p13618cx98i.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0nfpxqu5ldke~T1
Milt Jackson,"Before Milt Jackson, there were only two major vibraphonists: Lionel Hampton and Red Norvo. Jackson soon surpassed both of them in significance and, despite the rise of other players (including Bobby Hutcherson and Gary Burton), still won the popularity polls throughout the decades. Jackson (or ""Bags"" as he was long called) was at the top of his field for 50 years, playing bop, blues, and ballads with equal skill and sensitivity.","January 1, 1923","October 9, 1999","Detroit, MI","Vocal, Bop, Post-Bop, Hard Bop, Modern Big Band, Mainstream Jazz, Standards, Chamber Jazz, Third Stream, Jazz Instrument, Vibraphone/ Marimba Jazz",http://image.allmusic.com/00/amg/pic200/drp000/p014/p01437rv2yo.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifoxqt5ldde~T1
Illinois Jacquet,"One of the great tenors, Illinois Jacquet's 1942 ""Flying Home"" solo is considered the first R&B sax solo, and spawned a full generation of younger tenors (including Joe Houston and Big Jay McNeely) who built their careers from his style, and practically from that one song.","October 31, 1922","July 22, 2004","Boussard, LA","Blues, Bop, Swing, Jump Blues, Jazz Instrument, Saxophone Jazz",http://image.allmusic.com/00/amg/pic200/drp000/p008/p00887owyrp.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifoxqt5ldde~T1
Keith Jarrett,"One of the most significant pianists to emerge since the 1960s, Keith Jarrett maintained a career that went through several phases. He gained international fame for his solo concerts, which found him spontaneously improvising all of the music without any prior planning, but he also led a couple of dynamic quartets/quintets, performed classical music, and later played explorative versions of standards with his longtime trio. Although his tendency to ""sing along"" with his piano now and then is distracting, Jarrett continued to grow as a powerful improviser after decades of important accomplishments.","May 8, 1945",,"Allentown, PA","Modern Creative, Fusion, Post-Bop, Contemporary Jazz, Vocal, Mainstream Jazz, Progressive Jazz, Standards, Jazz Instrument, Piano Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp400/p479/p47950pnrmr.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifpxqt5ldfe~T1
James P. Johnson,"One of the great jazz pianists of all time, James P. Johnson was the king of stride pianists in the 1920s. He began working in New York clubs as early as 1913 and was quickly recognized as the pacesetter. In 1917, Johnson began making piano rolls. Duke Ellington learned from these (by slowing them down to half-speed), and a few years later, Johnson became Fats Waller's teacher and inspiration. During the '20s (starting in 1921), Johnson began to record, he was the nightly star at Harlem rent parties (accompanied by Waller and Willie ""The Lion"" Smith) and he wrote some of his most famous compositions during this period. For the 1923 Broadway show Running Wild (one of his dozen scores), Johnson composed ""The Charleston"" and ""Old Fashioned Love,"" his earlier piano feature ""Carolina Shout"" became the test piece for other pianists, and some of his other songs included ""If I Could Be with You One Hour Tonight"" and ""A Porter's Love Song to a Chambermaid.""","Feb 1, 1894","November 17, 1955","New Brunswick, NJ","Ragtime, Stride, Early Jazz, Jazz Instrument, Piano Jazz, Classical",http://image.allmusic.com/00/amg/pic200/drp300/p300/p30033srhnu.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0ifexqt5ldfe~T1
Louis Jordan,Effervescent saxophonist Louis Jordan was one of the chief architects and prime progenitors of the R&B idiom. His pioneering use of jumping shuffle rhythms in a small combo context was copied far and wide during the 1940s.,"July 8, 1908","February 4, 1975","Brinkley, AR","Blues, Urban Blues, Swing, Jump Blues, East Coast Blues, Regional Blues, Early R&B, R&B",http://image.allmusic.com/00/amg/pic200/drp300/p352/p35251bkjia.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wiftxqt5ldfe~T1
Stan Kenton,"There have been few jazz musicians as consistently controversial as Stan Kenton. Dismissed by purists of various genres while loved by many others, Kenton ranks up there with Chet Baker and Sun Ra as jazz's top cult figure. He led a succession of highly original bands that often emphasized emotion, power, and advanced harmonies over swing, and this upset listeners who felt that all big bands should aim to sound like Count Basie. Kenton always had a different vision.","December 15, 1911","August 25, 1979","Wichita, KS","Big Band, Vocal, Progressive Jazz, Traditional Pop",http://image.allmusic.com/00/amg/pic200/drp400/p479/p47987jfppk.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifixqt5ldfe~T1
Rahsaan Roland Kirk,"Arguably the most exciting saxophone soloist in jazz history, Kirk was a post-modernist before that term even existed. Kirk played the continuum of jazz tradition as an instrument unto itself; he felt little compunction about mixing and matching elements from the music's history, and his concoctions usually seemed natural, if not inevitable. When discussing Kirk, a great deal of attention is always paid to his eccentricities -- playing several horns at once, making his own instruments, clowning on stage. However, Kirk was an immensely creative artist; perhaps no improvising saxophonist has ever possessed a more comprehensive technique -- one that covered every aspect of jazz, from Dixieland to free -- and perhaps no other jazz musician has ever been more spontaneously inventive. His skills in constructing a solo are of particular note. Kirk had the ability to pace, shape, and elevate his improvisations to an extraordinary degree. During any given Kirk solo, just at the point in the course of his performance when it appeared he could not raise the intensity level any higher, he always seemed able to turn it up yet another notch.","August 7, 1936","December 5, 1977","Columbus, OH","Post-Bop, Avant-Garde Jazz, Modern Creative, Soul Jazz, Mainstream Jazz, Jazz Instrument, Saxophone Jazz",http://image.allmusic.com/00/amg/pic200/drp400/p479/p47951ifivz.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifoxqt5ldfe~T1
Mahavishnu Orchestra,"One of the premiere fusion groups, the Mahavishnu Orchestra were considered by most observers during their prime to be a rock band, but their sophisticated improvisations actually put their high-powered music between rock and jazz. Founder and leader John McLaughlin had recently played with Miles Davis and Tony Williams' Lifetime. The original lineup of the group was McLaughlin on electric guitar, violinist Jerry Goodman, keyboardist Jan Hammer, electric bassist Rick Laird, and drummer Billy Cobham. They recorded three intense albums for Columbia during 1971-1973 and then the personnel changed completely for the second version of the group. In 1974, the band consisted of violinist Jean-Luc Ponty, Gayle Moran on keyboards and vocals, electric bassist Ralphe Armstrong, and drummer Narada Michael Walden; by 1975 Stu Goldberg had replaced Moran and Ponty had left. John McLaughlin's dual interests in Eastern religion and playing acoustic guitar resulted in the band breaking up in 1975. Surprisingly, an attempt to revive the Mahavishnu Orchestra in 1984 (using Cobham, saxophonist Bill Evans, keyboardist Mitchell Forman, electric bassist Jonas Hellborg, and percussionist Danny Gottlieb) was unsuccessful; one Warner Bros. album resulted. However, when one thinks of the Mahavishnu Orchestra, it is of the original lineup, which was very influential throughout the 1970s.",1971,,,"Pop/Rock, Fusion, Jazz-Rock",http://image.allmusic.com/00/amg/pic200/drp200/p227/p22733wbhar.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifwxqy5ld6e~T1
Jackie McLean,"Jackie McLean has long had his own sound, played slightly sharp and with great intensity; he is recognizable within two notes. McLean was one of the few bop-oriented players of the early '50s who explored free jazz in the '60s, widening his emotional range and drawing from the new music qualities that fit his musical personality.","May 17, 1932","March 31, 2006","New York, NY","Post-Bop, Hard Bop, Modal Music, Vocal, Bop, Mainstream Jazz, Progressive Jazz, Standards, Avant-Garde Jazz, Jazz Instrument, Saxophone Jazz",http://image.allmusic.com/00/amg/pic200/drp100/p145/p14518nc9w6.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3ifuxqwgld0e~T1
King Sunny Ade,"King Sunny Ade is the undisputed king of juju music, the dance-inspiring hybrid of western pop and traditional African music with roots in the guitar tradition of Nigeria. Although he's yet to equal the success that he enjoyed with his early-1980s albums and American tours, Ade and his band, His African Beats, continue to weave an infectious blend of electric guitars, synthesizers and multi-layered percussion.","September 20, 1946",,"Oshogbo, Nigeria","Juju, Afro-pop, African traditions, Highlife, Worldbeat, Afro-beat",http://image.allmusic.com/00/amg/pic200/drp400/p471/p47134ajqhx.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifixqw5ldhe~T1
Mahmoud Ahmed,"n Ethiopia the word is ""eskeusta,"" which roughly translated means ecstasy, more specifically it is a shaking sensation that begins at one's shoulders, quivering down the spine and into the legs and feet. And of all of the great male vocalists that Ethiopia has produced (don't laugh, there have been quite a few) none are able to create eskeusta better than Mahmoud Ahmed.","May 18, 1941",,"Addis Ababa, Ethiopia","world fusion, jazz, worldbeat, east african, african traditions",http://image.allmusic.com/00/amg/pic200/drP300/P322/P32255SBXST.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:aifixqw5ldhe~T1
Akanni Animashaun,Traditional Nigerian drum ensemble. ,,,,"Apala, Middle Eastern Traditions, African Folk, African Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:gifoxqw5ldhe
Batacumbele,"A hot Afro-Cuban outfit that rivals any today. Their name comes from the bat  drum from Africa plus the ""cumbia"" rhythms of montuno and mambo, which evolved from tribal dance. ",,,,"International, World Fusion, Jazz, Latin Jazz, Tropical, New York Salsa",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifpxqw5ldje
Sotiria Bellou,"Sotiria Bellou was one of the most influential singers of rembetika tragoudi, a style of song known as ""Greek blues."" ""Discovered"" by late Greek composer Vassilis Tsits·nis in 1945, Bellou continued to sing professionally for nearly five decades. Supporting herself during rembetika's popularity lull of the 1950s by selling cassettes on the street, she regained her former status during the rembetika revival that extended from the mid-'60s until the early '80s. A native of Drosia (now Haila), a small village near Halkida, Bellou sang as a child in a church choir led by her grandfather, a parish priest. Although she was briefly married in the late '30s, the marriage broke down after she reached her boiling point after months of abuse and threw acid into her husband's face. Arrested and tried in court, she was sentenced to three and a half years in prison. Released after serving four months, she relocated to Athens shortly before the onset of World War II. She supported herself, through the war years, as a street musician and took an active role in the Greek resistance, selling copies of a Communist newspaper Rizospastis. Arrested on several occasions, she was repeatedly beaten and imprisoned for her political beliefs. Discovered by Tsits·nis in 1945, Bellou began appearing in Greek nightclubs with Tsits·nis accompanying her singing on piano. She continued to collaborate with Tsits·nis until his death in 1984. Bellou, who recorded the first of many 78 rpm recordings in 1948, struggled during the repressive era of the Greek junta in 1950s and early '60s. Her music, however, remained popular with students and record collectors. Beginning with a series of recordings for the Lyra label in 1966, Bellou reassumed her role as one of Greece's best-loved artists. In 1975, she began working with such top-notch Greek composers as Dionysios Savopoulos. Despite the popularity she enjoyed as a singer, Bellou continued to struggle in her private life. A passionate gambler, she lost several fortunes at secret dice games. Nearly impoverished in her later years, she was aided by the Greek government, which brought her financial relief and helped pay for her extensive medical expenses. Succumbing to throat cancer two days before her 76th birthday, Bellou was provided a State funeral on August 29, 1997.",,,,"Rembetika, Mediterranean Traditions, Greek Folk",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wpfoxqu5ldde~T1
Jocelyne Beroard,"As lead singer for the 15-piece Martinique-based band Kassav' since 1984, Jocelyn Beroard helped to lay the foundations of zouk, a popular dance blend of Antillean, Zairean, and European influences. Together with the group, Beroard joined with Youssou N'Dour, Peter Gabriel, and Tracy Chapman in 1998 for a world tour in celebration of the 50th anniversary of the Universal Declaration of Human Rights. Their performance in Paris on December 12, 1998, was recorded and included on a multi-artist video and DVD, Paris Concert for Amnesty International: The Struggle Continues, released in 1999.",,,,"Worldbeat, Zouk, Caribbean Traditions",http://image.allmusic.com/00/amg/pic200/drp400/p403/p40344mndll.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifqxqw5ldje
"Blueboy ""Superblue""","Blueboy may very well be the most loved of T&T's calypsonians. After dominating the Road March competition in the early 80s, a difficult bout with personal problems removed him for a while from the big leagues. His triumphant return in 1991 (as ""Superblue"") was met with overwhelmingly positive response by a public that had been truly empathetic during his ""lost years."" In both 1991 and 1992 Superblue was so far ahead in the Road March competition that his ultimate victories were pronounced long before Carnival Tuesday, but in '93 he even exceeded this feat by writing the most popular road march ever (in terms of votes tallied), ""Bacchanal Time.""Look under Blueboy for the best of his earlier efforts, but consider both albums as Superblue to be essential listening.",,,,"Soca, Party Soca, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:fifwxqw5ldje
Canario Y Sus Pleneros,,,,,"International, Tropical, Puerto Rican Traditions, Plena",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kpfpxq85ldse
Os Caretas,,,,,"International, Samba, Brazilian Traditions, Brazilian Pop, Brazilian Folk",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:0pfwxq85ldae
Sheila Chandra,"One of the most unusual and successful singers of the '80s and '90s that has attempted to fuse the music of non-Western cultures with Western pop, Sheila Chandra began recording as a teenager in Monsoon. Of Indian ancestry, but born and raised in Britain, Chandra took lead vocals in the band, which pursued a sort of new wave-tinged raga-rock along the lines of George Harrison's explorations on Beatles tracks like ""Love You To."" The combination yielded an album and an unexpected British hit single, ""Ever So Lonely,"" in the early '80s. Chandra, however, felt limited by the label's pressures for more commercial product, and signed to a small indie label, Indipop, which she felt would offer more freedom for her explorations as a solo artist.","March 14, 1965",,"Waterloo, London, England","Worldbeat, Ambient, Indian Pop, Electronic, Pop/Rock, Indian Subcontinent Traditions, International Fusion, Vocal",http://image.allmusic.com/00/amg/pic200/drp000/p036/p03649kd316.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3ifrxqw5ldje~T1
Charlie's Roots,"A T&T brass band that had been popular for many years prior to the emergence of one of their lead singers, David Rudder, as a solo calypsonian in 1986. In that year Rudder won both the Road March and the National Calypso Monarchy crown. In 1988 another Charlie's Roots lead singer, Chris ""Tambu"" Herbert, began a three-year domination of the Road March as a solo artist. Despite the solo careers of the two, they remain to this day as singers for Charlie's Roots, although as of 1988 they began to release albums under their own names, with the band listed as backup artists. Albums are still released occasionally under the group's name. Sire Records reissues Rudder's music with Charlie's Roots in nice packages that are more easily available than the original Charlie's releases. Their tendency to mix songs from different years may confuse those who really wish to familiarize themselves with Rudder as a developing artist.",,,,"Party Soca, Caribbean Traditions, Soca, Calypso",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:difrxqw5ldje
Johnny Clegg,"The white, English-speaking, society and Black, African, culture of South Africa was brought together by Johnny Clegg. Together with Sipho Mchunu, a Zulu musician who came to Johannesburg in search of work, Clegg formed South Africa's first multi-racial band, Juluka. In the seven years that they were initally together, the band recorded two platinum and five gold albums and became an international success. Following the group's disbanding in 1986, Clegg continued to blend African music with European pop influences with the band, Savuka. Reunited with Mchunu in the mid-1990s, Clegg reformed Juluka and toured throughout the world as opening act for King Sunny Ade. A native of Lancashire, England, Clegg moved to Africa as a youngster. Although he temporarily lived in Zimbabwe and Zambia, he eventually settled, with his family, in South Africa. Starting guitar at the age of fourteen, Clegg was introduced to South African music when he heard a street musician, Mntonganazo Mzila. Enchanted by what he heard, Clegg apprenticed himself to Mzila for two years, learning the basics of Zulu music and Inhlangwini dancing. Soon after meeting Sipho Mchunu and forming Juluka, Clegg recorded his debut single, ""Waza Friday."" Although racial prejudice in South Africa prevented their first album, Universal Man, from attaining radio airplay, the album became a word of mouth hit. Their second album, African Litany, released in 1981, included the South African hit, ""Impi."" Two years later, Juluka attracted international acclaim for their album, Scatterling. The political climate of South Africa began to take its tollon the group in the mid-1980s. By 1985, Clegg and Mchunu seperated with Mchunu returning to his homeland to work on his farm. Clegg's second band, Savuka, which took its name from the Zulu word meaning ""we have risen"" or ""we have awakened"", took a more pop-minded approach to African music. The group's debut album, Third World Child, sold more than two million copies. Following their second album, Shadow Man, the band embarked on a world tour, opening shows for Steve Winwood in the United States and George Michael in Canada. Savuka reached its peak with its fourth album, Heat, Dust And Dreams, which was nominated for a Grammy in the ""best world music"" category and received a Billboard music award as ""Best World Music Album"".","June 7, 1953",,"Rochdale, Lancashire, England","Pop/Rock, Mbaqanga, Southern African, African Traditions, Worldbeat, Afro-Pop, Zulu",http://image.allmusic.com/00/amg/pic200/drp000/p035/p03534pktdn.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kifrxqw5ldje~T1
Crazy,"As #2 he certainly tries harder. There is perhaps no artist in T&T who more consistently composes a party masterpiece aimed at the Road March and yet loses time and again, usually placing second. Best known internationally for his Indian soca success, ""Nani Wine,"" he has actually been responsible for many huge hits, including ""Ain't Bong for You"" (from 1984), ""Drive It"" (1988), ""Gimme More"" (from 1990), and ""Penelope/Party Now Start"" (from 1992). Only once, in 1985, did he win the Road March, with ""(Suck Me) Soucouyant."" For all-out party soca, any record by Crazy will do.",,,,"Soca, Calypso, Caribbean Traditions, Reggae",http://image.allmusic.com/00/amg/pic200/drp200/p281/p28129rbcie.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifuxqq5ldfe
Georges Decimus,"Two early solo efforts by one of the founders of Kassav'. After more than a decade with Kassav', Georges went off in 1990 to form his own band, called Volt-Face.",,,,"Zouk, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:kiftxqw5ldje
Jacob Desvarieux,"One of the three founding members of Kassav', Desvarieux credits the title cut from Banzawa as being the spark that touched off the zouk explosion.",,,,"Zouk, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:wiftxqw5ldje
Manu Dibango,"Dibango is Cameroon's, and perhaps Africa's, best-known jazz saxophonist. Starting in the 1950s, he became a globe-trotting musician, living and performing in France, Belgium, Jamaica, Zaire, and Cote d'Ivoire, as well as in Cameroon. In 1960, Dibango was one of the founding members of the Zairean band African Jazz, with whom he spent five years. World attention came to Dibango with the release in 1972 of Soul Makossa, a work that actually had precious little of the makossa sound in it, and scored later hits with Seventies and Ibida. Dibango's output has been prodigious and multi-faceted. He has worked with musicians as diverse as Fela Kuti, Sly Dunbar, Robbie Shakespeare, Don Cherry, and the Fania All-Stars. In addition to being one of the leading jazz saxophonists of his generation, Dibango has also run nightclubs, directed orchestras, and started one of the first African musical journals. A later release, Polysonik -- featuring English rapper MC Mello, Cameroonian singer Charlotte M'Bango leading a choral section, and sampled pygmy flutes -- shows that Dibango is continuing to flourish and expand in challenging new directions.","February 10, 1934",,Cameroon,"World Fusion, International, Worldbeat, Makossa, African Jazz, African Traditions, Afro-Pop",http://image.allmusic.com/00/amg/pic200/drp300/p318/p31864chcag.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3zfoxqu5ldke
Ramgoonai Drupatee,"East Indian singer who nearly took the Road March in 1988 with ""(Roll Up the Tassa) Mr. Bissessar,"" an Indian soca that was the motivation behind the following year's ""Nani Wine"" response by Crazy. ",,,,"Soca, Party Soca, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:hifyxqw5ldje
Ensemble Nemours Jean-Baptiste,,,,,"International, Compas, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jpfpxqu5ldde
Ethnikolor,"One of the surprise hits of the 1991 carnival and indicative of the growing revival of interest in classic Antilles pop music. The brainstorm of Martiniquan ""living legend"" Ronald Rubinel, the Ethnikolor discs feature a Who's Who of Antilles artists ranging from Kassav' members to biguine moderne clarinetist Michel Godzom to chouval bwa stars Marce Pago And Dede St. Prix. ",,,,"Calypso, Caribbean Traditions",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:3ifuxqw5ldje
Explainer,A severely underrated calypsonian who rarely makes it to the Monarchy finals but who nearly always releases an album of interest. His albums are always a talented mix of social commentary and (often risquÈ) party tunes.,,,,"Soca, Caribbean Traditions, Calypso, Party Soca",,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:fifuxqw5ldje
Giora Feidman,"Argentine-born and Israeli-based, Giora Feidman has become the leading interpreter and performer of Eastern European klezmer. Despite his classical training with the Israel Philharmonic Orchestra, Feidman's clarinet playing is unrestrainedly and emphatically eclectic. ",1936,,"Buenos Aires, Argentina","Klezmer, Classical, Jewish Music, Middle Eastern Traditions, Israeli",http://image.allmusic.com/00/amg/pic200/drp300/p310/p31041cjxrz.jpg,http://www.allmusic.com/cg/amg.dll?p=amg&sql=11:jifuxqw5ldje
